Indexer,BostonAllSection12AlcoholLicenses-HistoricalLicenseNum,BostonAllSection12AlcoholLicenses-Closing,BostonAllSection12AlcoholLicenses-Suffix,BostonAllSection12AlcoholLicenses-City,BostonBuildingEnergyAndWaterUseMetrics-ZIP,BostonBuildingEnergyAndWaterUseMetrics-Site_EUI,BostonBuildingEnergyAndWaterUseMetrics-GHG_Emissions,BostonEmployeeEarningsReport2015-REGULAR,BostonNailSalonPermits-Permit_Number,BostonUrbanOrchards-Site,col1-score,col2-score,col3-score,col4-score,col5-score,col6-score,col7-score,col8-score,col9-score,col10-score
76,CV7AL0023,2:00 AM,ST,East Boston,2210,92.9,945.3,"$13,655.10",,UO5,0.0311331133113,0.0045261669024,0.0321782178218,0.0599909990999,0.0435643564356,0.0367161716172,0.0294200848656,0.0209900990099,0.82095709571,0.1100110011
77,CV7AL0024,2:00 AM,ST,Boston,2119,21.3,65.7,"$101,466.00",2012N-00072,UO59,0.0311331133113,0.0045261669024,0.0321782178218,0.0221947194719,0.0123762376238,0.0301155115512,0.0374823196605,0.015301530153,0.0148514851485,0.0173267326733
78,CV7AL0025,2:00 AM,ST,Boston,2139,111.8,879.4,"$55,974.12",2013N-00168,UO54,0.0311331133113,0.0045261669024,0.0321782178218,0.0221947194719,0.0123762376238,0.0379537953795,0.022630834512,0.0281188118812,0.0148514851485,0.0173267326733
79,CV7AL0027,2:00 AM,ST,Boston,2108,104.1,902.1,"$24,078.60",2013N-00067,UO53,0.0311331133113,0.0045261669024,0.0321782178218,0.0221947194719,0.0158415841584,0.0379537953795,0.022630834512,0.0233663366337,0.0148514851485,0.0173267326733
80,CV7AL0028,2:00 AM,St,Boston,2116,63.9,456.8,"$8,840.45",2012N-00063,UO76,0.0311331133113,0.0045261669024,0.0721357850071,0.0221947194719,0.0118811881188,0.0367161716172,0.0223479490806,0.0224422442244,0.0148514851485,0.0173267326733
81,CV7AL0029,2:00 AM,ST,Boston,2122,42.7,347.2,"$47,706.32",2013N-00130,UO83,0.0311331133113,0.0045261669024,0.0321782178218,0.0221947194719,0.0465346534653,0.0305280528053,0.022630834512,0.0233663366337,0.0148514851485,0.0173267326733
82,CV7AL0031,2:00 AM,AV,Boston,2116,89.3,5192.1,"$2,764.39",2014N-00097,UO29,0.0295929592959,0.0045261669024,0.0618811881188,0.0221947194719,0.0118811881188,0.042904290429,0.027345591702,0.0250825082508,0.0148514851485,0.0173267326733
83,CV7AL0032,2:00 AM,PL,Boston,2116,82.9,3335.7,"$55,974.12",2012N-00060,UO65,0.0295929592959,0.0045261669024,0.0611739745403,0.0221947194719,0.0118811881188,0.0367161716172,0.0275813295615,0.0281188118812,0.0148514851485,0.0173267326733
84,CV7AL0034,2:00 AM,DR,Boston,2109,48.3,811,"$102,690.78",2013N-00129,UO39,0.0311331133113,0.0045261669024,0.043847241867,0.0221947194719,0.0158415841584,0.0305280528053,0.0650636492221,0.0131413141314,0.0148514851485,0.0173267326733
85,CV7AL0037,1:00 AM,St,Boston,2109,51,622.6,"$97,716.03",2014N-00095,UO85,0.0311331133113,0.004243281471,0.0721357850071,0.0221947194719,0.0158415841584,0.126237623762,0.022630834512,0.0209900990099,0.0148514851485,0.0173267326733
86,CV7AL0039,2:00 AM,ST,Boston,2114,10.9,55,"$96,404.95",2011N-00017,UO48,0.0311331133113,0.0045261669024,0.0321782178218,0.0221947194719,0.029702970297,0.0305280528053,0.130127298444,0.0186138613861,0.0148514851485,0.0173267326733
87,CV7AL0041,24 HOURS,ST,Boston,2115,105.2,175.4,"$2,040.00",2012N-00094,UO15,0.0295929592959,0.221287128713,0.0321782178218,0.0221947194719,0.00891089108911,0.0379537953795,0.022630834512,0.0250825082508,0.0148514851485,0.0173267326733
88,CV7AL0042,1:00 AM,ST,Boston,2114,74.8,1016.3,"$105,404.61",2013N-00115,UO92,0.0295929592959,0.004243281471,0.0321782178218,0.0221947194719,0.029702970297,0.0367161716172,0.0332390381895,0.0131413141314,0.0148514851485,0.0173267326733
89,CV7AL0043,2:00 AM,ST,Boston,2116,99.4,328.2,"$107,238.29",2014N-00121,UO40,0.0311331133113,0.0045261669024,0.0321782178218,0.0221947194719,0.0118811881188,0.042904290429,0.022630834512,0.0131413141314,0.0148514851485,0.0173267326733
90,CV7AL0044,2:00 AM,PL,Boston,2210,61.2,-211.7,"$47,960.68",,UO70,0.0311331133113,0.0045261669024,0.0611739745403,0.0221947194719,0.0435643564356,0.0367161716172,0.0275813295615,0.0209900990099,0.82095709571,0.0173267326733
