{   'action_dim': 6,
#Games: 1474 #Frames: 1474000  Train_Max: 9809.34  Test_Score: 9670.34  Avg: 9611.39  ENV:  HalfCheetah-v2  DDPG Reward: 9824.24  PG Loss: -949.6689

#Games: 1485 #Frames: 1485000  Train_Max: 9818.53  Test_Score: 9657.20  Avg: 9616.18  ENV:  HalfCheetah-v2  DDPG Reward: 9643.58  PG Loss: -951.9828

#Games: 1496 #Frames: 1496000  Train_Max: 9771.51  Test_Score: 9659.05  Avg: 9623.39  ENV:  HalfCheetah-v2  DDPG Reward: 9794.00  PG Loss: -954.3475

#Games: 1507 #Frames: 1507000  Train_Max: 9765.34  Test_Score: 9701.44  Avg: 9635.31  ENV:  HalfCheetah-v2  DDPG Reward: 9727.67  PG Loss: -957.8707

#Games: 1518 #Frames: 1518000  Train_Max: 9523.88  Test_Score: 9614.24  Avg: 9649.78  ENV:  HalfCheetah-v2  DDPG Reward: 9879.43  PG Loss: -960.1137

#Games: 1529 #Frames: 1529000  Train_Max: 9654.73  Test_Score: 9634.37  Avg: 9645.72  ENV:  HalfCheetah-v2  DDPG Reward: 9888.08  PG Loss: -962.8789

Sync from RL --> Nevo
#Games: 1540 #Frames: 1540000  Train_Max: 9714.90  Test_Score: 9722.40  Avg: 9646.53  ENV:  HalfCheetah-v2  DDPG Reward: 9907.72  PG Loss: -965.3416

